the_geom,cartodb_id,objectid,date_inven,species,dbh,condition,site_type,site_width,wires,site_devel,site_size,notes,address,neighborho,collected_,planted_by,plant_date,scientific,family,genus,common,functional,size,edible,species_de
0101000020E6100000EA2D9D4A8AA45EC0122B670DD6C94640,213147,213147,2016-09-22 17:47:40+00,ACPL,15.4,Fair,strip,12.5,None,Improved,Large,,9298 NE CASCADES PKWY,PDX,staff,,,Acer platanoides,Sapindaceae,Acer,"maple, Norway",BD,M,no,
0101000020E61000005B0732058FA45EC0521D4BF0CFC94640,213148,213148,2016-09-22 17:47:40+00,ACPL,16.2,Fair,strip,12.5,None,Improved,Large,,S SIDE/ NE CASCADES PKWY,PDX,staff,,,Acer platanoides,Sapindaceae,Acer,"maple, Norway",BD,M,no,
0101000020E610000049F8C137A1A45EC0461E84BFAAC94640,213149,213149,2016-09-22 17:47:40+00,ACPL,13.4,Poor,strip,12.5,None,Improved,Large,,,PDX,staff,,,Acer platanoides,Sapindaceae,Acer,"maple, Norway",BD,M,no,
0101000020E61000008AF41FA8A3A45EC069DF9DB0A6C94640,213150,213150,2016-09-22 17:47:40+00,ACPL,11.4,Fair,strip,12.5,None,Improved,Large,,,PDX,staff,,,Acer platanoides,Sapindaceae,Acer,"maple, Norway",BD,M,no,
0101000020E6100000F67A7908ABA45EC0BD37D2E29CC94640,213151,213151,2016-09-22 17:47:40+00,ACPL,16.3,Fair,strip,12.5,None,Improved,Large,,,PDX,staff,,,Acer platanoides,Sapindaceae,Acer,"maple, Norway",BD,M,no,
0101000020E6100000CC6BE247C3A45EC0F12F987892C94640,213155,213155,2016-09-22 17:47:40+00,ACRU,14.2,Fair,strip,12.5,None,Improved,Large,,,PDX,staff,,,Acer rubrum,Sapindaceae,Acer,"maple, red",BD,M,no,
0101000020E6100000973AA369B7A45EC04811B98B99C94640,213157,213157,2016-09-22 17:47:40+00,ACRU,18.6,Fair,strip,12.5,None,Improved,Large,,,PDX,staff,,,Acer rubrum,Sapindaceae,Acer,"maple, red",BD,M,no,
0101000020E6100000DF7215BABAA45EC01CDA253497C94640,213158,213158,2016-09-22 17:47:40+00,ACRU,16,Fair,strip,12.5,None,Improved,Large,,,PDX,staff,,,Acer rubrum,Sapindaceae,Acer,"maple, red",BD,M,no,
0101000020E6100000993723F9BFA45EC0A621A7F793C94640,213159,213159,2016-09-22 17:47:40+00,ACRU,19.2,Fair,strip,12.5,None,Improved,Large,,,PDX,staff,,,Acer rubrum,Sapindaceae,Acer,"maple, red",BD,M,no,
0101000020E61000007875D1FABDA45EC0ACD25A1595C94640,213160,213160,2016-09-22 17:47:40+00,ACRU,17.2,Fair,strip,12.5,None,Improved,Large,,,PDX,staff,,,Acer rubrum,Sapindaceae,Acer,"maple, red",BD,M,no,
0101000020E6100000287EB827AEA45EC06B0755A2A2C94640,213163,213163,2016-09-22 17:47:40+00,ACPL,12.8,Fair,strip,12.5,None,Improved,Large,,,PDX,staff,,,Acer platanoides,Sapindaceae,Acer,"maple, Norway",BD,M,no,
